Wat?,specificaties,Tip
Kartonnen bord,,Gebruik een gewoon bord.
Kerstboom,,Koop een kerstboom met wortel die u na de kerstperiode in de tuin plant.
Koffiefilters,,Vermijd wegwerpkoffiefilters: u koopt meer afval dan nuttig prouduct.
Krant,,"Neem samen met je buur, kennis of collega een abonnement."
Lamp,,"Geef de voorkeur aan een LED lamp, die verbruikt minder."
Lamp,,"Geef de voorkeur aan een spaarlamp, die gaat langer mee en verbruikt ook nog minder."
Luier,,Gebruik herbruikbare luiers.
Matras,,Hou ze in goede staat door regelmatig te keren.
Muggenspray,,Gebruik een vliegenraam/hor.
Onkruidverdelger,,"Geef onkruid geen kans door te schoffelen, te spitten, bodembedekkers te planten, of mulchmateriaal aan te brengen."
Ontstopper,,Gebruik eerst een rubberen zuignap. Slechts als dit niet werkt kunt u het probleem met chemicalien te lijf gaan.
Papieren zakdoeken,,Gebruik stoffen zakdoeken.
PET-fles,,Drink water van de kraan.
PET-fles,,Geef de voorkeur aan statiegeldflessen.
Plasticfles,,Drink water van de kraan.
Plasticfles,,Geef de voorkeur aan statiegeldflessen.
PVC-fles,,Drink water van de kraan.
PVC-fles,,Geef de voorkeur aan statiegeldflessen.
Reclamedrukwerk,,Vraag een anti-reclamesticker.
Reclamedrukwerk,,Registreer u op de Robinson lijst www.robinson.be.
Salon,,Laat uw niet versleten salon gratis ophalen door de winkel.
Scheermesje,,Vermijd wegwerpscheermesjes met handvat. Wil u zich nat scheren dan kan u een scheermeshouder gebruiken en dan de scheermesjes vervangen.
Scheermesje,,Opteer voor scheerzeep eerder dan scheerschuim (minder verpakking).
Scheermesje,,Scheer elektrisch.
Servet,papier,Gebruik stoffen servetten.
Slagerspapier,,Laat de slager uw vlees verpakken in uw eigen bewaardozen.
Snoeihout,,"Geef bomen en struiken ruimte om te groeien, beperk snoeibeurten tot die plaatsen waar het nodig is."
Snoeihout,,"Vanuit veiligheidsoogpunt, opteer voor traag groeiende inheemse soorten."
Spuitbussen,,"Overweeg navulbare verstuivers met handpompje, roller, …"
Stronk,,Laat de stronk ter plaatse verteren.
Stylo,,Gebruik een navulbare pen.
Tafellaken,,Vermijd zoveel mogelijk eenmalige papieren wegwerptafellakens.
Takken,,Leg een takkenwal aan als afsluiting.
Takken,,Maak een takkenstapel in uw tuin als schuilplaats voor allerlei dieren.
Takken,,"Verklein ze en gooi ze op de composthoop, in de compostbak, of compstvat."
Tampon,,"Gebruik de keeper, dit is een flexibele, herbruikbare tampon gemaakt uit natuurrubber."
Tetrabrik,,Geef de voorkeur aan statiegeldflessen.
Verf,,Reken op voorhand nauwkeurig uit hoeveel verf je nodig hebt.
Verf,,"Sluit potten steeds luchtdicht af en draai ze om, zo gaat de verf langer mee."
Vershoudfolie,,Gebruik een bewaardoos.
Vertrouwelijk papier,,"Durft u uw rekeninguittreksels e.d. niet meegeven met de papierinzameling, versnipper ze dan eerst en geef ze mee in een enveloppe of kartonnen doos met het oud papier. Er zijn vrij goedkope elektrische versnipperaars op de markt."
Vetranden aan vlees,,"Voeder aan een huisdier (hond, …) of aan de vogels."
Wasmiddel,lege fles of flacon,Gebruik een geconcentreerd product.
Wasmiddel,lege fles of flacon,Gebruik navulverpakking.
Wasverzachter,,Voeg een scheutje azijn toe aan uw wasgoed.
Wegwerpbord,,"Af te raden, gebruik afwasbaar servies."
Wegwerpfototoestel,,Gebruik een gewoon fototoestel.
White spirit,,Laat de white spirit met vetresten bezinken en hergebruik de bovenste laag van de vloeistof.
Zak,papier,Gebruik hem om er uw oud papier in aan te bieden voor de huis-aan-huis inzameling.
Zak,pastic, stop verschillende aankopen in eenzelfde zak (en vraag dus niet steeds een nieuwe zak).
Zak,plastic,Winkel met je eigen boodschappentas.
Zak,plastic,Stop je inkopen in je handtas.
Zakje,warenhuis,"Gebruik een herbruikbare zak, een plooikrat, een boodschappentas of een kartonnen doos."
Zetel,,Laat hem opnieuw bekleden.
