DeelGemeenteNaam,GemeenteAdres,GemeenteEmail,GemeenteFax,GemeenteKalender,GemeenteNaam,GemeentePostcode,GemeenteTel,GemeenteWebsite,ICAdres,ICEmail,ICFax,ICGemeenteNaam,ICKalender,ICPostcode,ICTel,ICWebsite,ICnaam
SINT-PIETERS-WOLUWE/WOLUWE-SAINT-PIERRE,"Charles Thielemanslaan, 93",info1150@woluwe1150.irisnet.be,02 773 18 18,,SINT-PIETERS-WOLUWE/WOLUWE-SAINT-PIERRE,1150,02 773 05 11,http://www.woluwe1150.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
AUDERGHEM/OUDERGEM,"Emile Idiersstraat, 12",,02 660 98 38,,AUDERGHEM/OUDERGEM,1160,02 676 48 10,http://,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
WATERMAAL-BOSVOORDE/WATERMAEL-BOISTFORT,"Antoine Gilsonplein, 1",commune@watermael-boitsfort.be,02 672 52 19,,WATERMAAL-BOSVOORDE/WATERMAEL-BOISTFORT,1170,02 674 74 11,http://www.watermael-boitsfort.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
UCCLE/UKKEL,"Jean Vander Elstplein, 29",julien.colin@uccle.be,02 343 59 49,,UCCLE/UKKEL,1180,02 348 65 11,http://www.ukkel.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
VORST/FOREST,"Pastoorsstraat, 2",guydelanghe@forest.irisnet.be,02 370 22 13,,VORST/FOREST,1190,02 370 22 11,http://www.bruxelles.irisnet.be/fr/1fr_admi/1fr_5com/1fr_5for.htm,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
WOLUWE-SAINT-LAMBERT/SINT-LAMBRECHTS-WOLUWE,"Paul Hymanslaan, 2",,02 772 25 67,,WOLUWE-SAINT-LAMBERT/SINT-LAMBRECHTS-WOLUWE,1200,02 761 27 11,http://www.woluwe1200.be,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
SINT-JOOST-TEN-NOODE/SAINT-JOSSE-TEN-NOODE,"Sterrenkundelaan, 13",stjoost@irisnet.be,02 218 83 36,,SINT-JOOST-TEN-NOODE/SAINT-JOSSE-TEN-NOODE,1210,02 220 26 11,http://www.bruxelles.irisnet.be/fr/1fr_admi/1fr_5com/1fr_5sjn.htm,Broquevillelaan / Avenue de Broqueville 12,info@arp-gan.be,02 778 08 88,BRUSSEL / BRUXELLES,http://www.bruxelles-proprete.be/Content/Calendrier/indexFR.html,B-1150,0800 981 91,http://www.arp-gan.be,AGENCE BRUXELLES PROPRETE / AGENTSCHAP NET BRUSSEL
WAVRE,"place de l'Hôtel de Ville, ",,010 23 03 13,,WAVRE,1300,010 23 03 11,http://www.wavre.com,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
BIERGES,"place de l'Hôtel de Ville, ",,010 23 03 13,,WAVRE,1300,010 23 03 11,http://www.wavre.com,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
LA HULPE,"rue des Combattants, 59",info@lahulpe.be,02 652 24 55,,LA HULPE,1310,02 634 30 70,http://www.lahulpe.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
INCOURT,"rue de Brombais, 2",henri.jacques@publilink.be,010 88 93 72,,INCOURT,1315,010 88 93 40,http://www.incourt.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
BEAUVECHAIN,"place Communale, 3",,010 86 83 01,,BEAUVECHAIN,1320,010 86 83 00,http://,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
CHAUMONT-GISTOUX,"rue Colleau, 2",,010 68 72 19,,CHAUMONT-GISTOUX,1325,010 68 72 17,http://www.chaumont-gistoux.be/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
RIXENSART,"avenue de Mérode, 75",,02 652 10 30,,RIXENSART,1330,02 634 21 21,http://www.rixensart.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
ROSIERES,"avenue de Mérode, 75",,02 652 10 30,,RIXENSART,1330,02 634 21 21,http://www.rixensart.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
GENVAL,"avenue de Mérode, 75",,02 652 10 30,,RIXENSART,1330,02 634 21 21,http://www.rixensart.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
OTTIGNIES-LOUVAIN-LA-NEUVE,"avenue des Combattants, 35",,010 43 78 03,,OTTIGNIES-LOUVAIN-LA-NEUVE,1340,010 43 78 11,http://,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
CEROUX-MOUSTY,"avenue des Combattants, 35",,010 43 78 03,,OTTIGNIES-LOUVAIN-LA-NEUVE,1340,010 43 78 11,http://,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
LIMELETTE,"avenue des Combattants, 35",,010 43 78 03,,OTTIGNIES-LOUVAIN-LA-NEUVE,1340,010 43 78 11,http://,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
LOUVAIN-LA-NEUVE,"Avenue des Combattants, 35 / Place de l'Hôtel de Ville",,,,LOUVAIN-LA-NEUVE,1348,010 43 78 11,http://www.brabantwallon.be/tourisme/fiches/ottignies/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
ORP-JAUCHE,"place Communale, 1",,019 63 47 84,,ORP-JAUCHE,1350,019 63 02 10,http://www.orpjauche.be/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
HELECINE,"rue le Brouc, 2",,,,HELECINE,1357,019 65 50 23,http://www.helecine.be/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
PERWEZ,"rue Emile de Brabant, ",info@perwez.be,081 65 74 42,,PERWEZ,1360,081 65 74 24,http://www.perwez.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
RAMILLIES,"avenue des Déportés, 48",,081 43 23 41,,RAMILLIES,1367,081 43 23 40,http://www.ramillies.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
JODOIGNE,"rue du Château, 13",touwaide.philippe@swing.be,010 81 99 88,,JODOIGNE,1370,010 81 99 99,http://www.jodoigne.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
LASNE,"Service Environnement<br>Place communale, 1",brigitte.defalque@lasne.be,02 634 05 64,,LASNE,1380,02 633 18 17,http://www.lasne.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
GREZ-DOICEAU,"place Ernest Dubois, 1",,010 84 83 29,,GREZ-DOICEAU,1390,010 84 83 00,http://www.grez-doiceau.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
NIVELLES,"place Albert I, ",administration@nivelles.be,067 84 05 33,,NIVELLES,1400,067 88 22 21,http://www.nivelles.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
BAULERS,"place Albert I, ",administration@nivelles.be,067 84 05 33,,NIVELLES,1400,067 88 22 21,http://www.nivelles.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
THINES,"place Albert I, ",administration@nivelles.be,067 84 05 33,,NIVELLES,1400,067 88 22 21,http://www.nivelles.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
BORNIVAL,"place Albert I, ",administration@nivelles.be,067 84 05 33,,NIVELLES,1400,067 88 22 21,http://www.nivelles.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
WATERLOO,"rue François Libert, 28",administration@waterloo.be,02 352 99 99 / 02 353 12 56,,WATERLOO,1410,02 352 98 11,http://www.waterloo.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
BRAINE-L'ALLEUD,"Grand'Place Baudouin 1er, 3",info@braine-lalleud.be,02 385 11 00,,BRAINE-L'ALLEUD,1420,02 386 05 11,http://www.braine-lalleud.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
OPHAIN-BOIS-SEIGNEUR-ISAAC,"Grand'Place Baudouin 1er, 3",info@braine-lalleud.be,02 385 11 00,,BRAINE-L'ALLEUD,1420,02 386 05 11,http://www.braine-lalleud.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
LILLOIS-WITTERZEE,"Grand'Place Baudouin 1er, 3",info@braine-lalleud.be,02 385 11 00,,BRAINE-L'ALLEUD,1420,02 386 05 11,http://www.braine-lalleud.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
REBECQ,"Grand'Place, 13",,067 67 07 28,,REBECQ,1430,067 67 01 20,http://www.rebecq.be/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
MONT-SAINT-GUIBERT,"Grand'Rue, 39",eric.dewez@publilink.be,010 65 02 53,,MONT-SAINT-GUIBERT,1435,010 65 75 75,http://www.mont-saint-guibert.be/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
BRAINE-LE-CHATEAU,"rue de la Libération, 9",info@braine-le-chateau.be,02 366 33 33,,BRAINE-LE-CHATEAU,1440,02 366 90 93,http://www.braine-le-chateau.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
CHASTRE,"avenue du Castillon, 71",,010 65 44 79,,CHASTRE,1450,010 65 44 71,http://www.chastre.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
WALHAIN,"place Communale, 1",info@walhain.be,010 65 03 62,,WALHAIN,1457,010 65 56 56 / 010 65 72 71,http://www.walhain.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
ITTRE,"rue Planchette, 2",,067 64 70 44,,ITTRE,1460,067 64 60 63,http://www.sit-ittre.be/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
HAUT-ITTRE,"rue Planchette, 2",,067 64 70 44,,ITTRE,1460,067 64 60 63,http://www.sit-ittre.be/,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
GENAPPE,"rue de Bruxelles, 38",info@genappe.be,067 79 00 91,,GENAPPE,1470,067 79 42 00,http://www.genappe.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
LOUPOIGNE,"rue de Bruxelles, 38",info@genappe.be,067 79 00 91,,GENAPPE,1470,067 79 42 00,http://www.genappe.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
VIEUX-GENAPPE,"rue de Bruxelles, 38",info@genappe.be,067 79 00 91,,GENAPPE,1470,067 79 42 00,http://www.genappe.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
GLABAIS,"rue de Bruxelles, 38",info@genappe.be,067 79 00 91,,GENAPPE,1470,067 79 42 00,http://www.genappe.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
WAYS,"rue de Bruxelles, 38",info@genappe.be,067 79 00 91,,GENAPPE,1470,067 79 42 00,http://www.genappe.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
HOUTAIN-LE-VAL,"rue de Bruxelles, 38",info@genappe.be,067 79 00 91,,GENAPPE,1470,067 79 42 00,http://www.genappe.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
TUBIZE,"Grand'Place, 1",commune.de.tubize@tubize.be,02 391 39 12,,TUBIZE,1480,02 391 39 11,http://www.tubize.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
COURT-SAINT-ETIENNE,"rue des Ecoles, 1",administration.communale@court.st.etienne.be,010 62 06 21,,COURT-SAINT-ETIENNE,1490,010 62 06 20,http://www.court-st-etienne.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
VILLERS-LA-VILLE,"rue Jules Tarlier, 32",villers-la-ville@skynet.be,071 87 67 18,,VILLERS-LA-VILLE,1495,071 87 70 12,http://www.villers-la-ville.be,Rue de la Religion 10,valmat@inbw.be,067 21 69 28,NIVELLES,http://www.ibw.be/valo-porteaporte.htm#calendriers,B-1400,0800 49 057,http://www.inbw.be,INBW
HALLE,"Oudstrijdersplein, 18",info@halle.be,02 363 24 00,,HALLE,1500,02 363 22 11,http://www.halle.be,Dorent 5,info@intradura.be,02 344 17 41,DROGENBOS,,B-1620,02 334 17 40,http://www.intradura.be,INTRADURA
BUIZINGEN,"Oudstrijdersplein, 18",info@halle.be,02 363 24 00,,HALLE,1500,02 363 22 11,http://www.halle.be,Dorent 5,info@intradura.be,02 344 17 41,DROGENBOS,,B-1620,02 334 17 40,http://www.intradura.be,INTRADURA
LEMBEEK,"Oudstrijdersplein, 18",info@halle.be,02 363 24 00,,HALLE,1500,02 363 22 11,http://www.halle.be,Dorent 5,info@intradura.be,02 344 17 41,DROGENBOS,,B-1620,02 334 17 40,http://www.intradura.be,INTRADURA
HERNE,"Centrum, 17",,02 397 11 67/68,,HERNE,1540,02 397 11 50,http://www.herne.be,Dorent 5,info@intradura.be,02 344 17 41,DROGENBOS,,B-1620,02 334 17 40,http://www.intradura.be,INTRADURA
SINT-PIETERS-KAPELLE,"Centrum, 17",,02 397 11 67/68,,HERNE,1540,02 397 11 50,http://www.herne.be,Dorent 5,info@intradura.be,02 344 17 41,DROGENBOS,,B-1620,02 334 17 40,http://www.intradura.be,INTRADURA
BEVER,"Plaats, 10",,054 58 63 93,,BEVER,1547,054 58 89 25,http://,Dorent 5,info@intradura.be,02 344 17 41,DROGENBOS,,B-1620,02 334 17 40,http://www.intradura.be,INTRADURA
HOEILAART,"Jan van Ruusbroecpark, ",gemeente@hoeilaart.be,02 658 28 44,,HOEILAART,1560,02 658 28 40,http://www.hoeilaart.be,J.B. Charlierlaan 78,info@interrand.be,02 658 95 50,HOEILAART,http://www.interrand.be/NL/Begin.php,B-1560,02 658 95 41,http://www.interrand.be,INTERRAND
GALMAARDEN,"Marktplein, 17",,054 58 02 51,,GALMAARDEN,1570,054 59 61 61,http://www.galmaarden.be,Industrielaan 18,info@ilva.be,053 83 44 22,EREMBODEGEM (AALST),http://www.ilva.be/afvalinzameling/kalender/index.phtml,B-9320,053 83 88 48,http://www.ilva.be,ILVA
SINT-PIETERS-LEEUW,"Pastorijstraat, 21",,02 377 72 26,,SINT-PIETERS-LEEUW,1600,02 371 22 11,http://www.sint-pieters-leeuw.be,Dorent 5,info@intradura.be,02 344 17 41,DROGENBOS,,B-1620,02 334 17 40,http://www.intradura.be,INTRADURA
